binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,uniform corr 1,multicollinearity 3,duplicate_2,multicollinearity 1,random choice 2,multicollinearity 2,pd qcut1,correlated w target 2,outliers 2,uniform corr 2,outliers 1,target,correlated w target 1,multicollinearity 4,pd qcut3,random choice 7,informative_1,corr_feature_class,random label num 12,class,scaling_combined,random choice 4_North,random choice 4_South,random choice 4_West,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,random label num 3_label num lo 2,random label num 3_label num lo 3
1,0.005,0.005,0.001,0.001,0.501,0.001,0.001,0.008,0.001,0.6712852252936063,-0.3387572172139997,-0.6638599972813359,-3.257122012237343,1,0.33636482195625417,0,-0.7657446003117596,4.659573839652993,0.9576095927344666,-1.5150430135142903,-0.9042236742875387,1.5752212094575426,-2.9796564104369945,0.187,0.146,-0.9991017824896424,8.439195907269017,0.083,1.0,56341.972953438926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.004,0.001,0.001,0.001,0.501,0.001,0.001,0.012,0.001,0.002366608748497773,-3.3226945191768524,1.153596854135379,1.3835811912135394,1,0.2684893033933781,1,-10.089042710921827,3.691030173617388,0.75715938229924,-0.4486382704296832,2.324369783092482,8.199629534830057,0.028872923717120455,0.188,0.205,1.2466861830450993,-7.065388507290498,0.083,1.0,39916.438519418334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.005,0.002,0.001,0.201,0.001,0.001,0.386,0.568,0.001,0.7111789330644771,-1.6571427336842606,0.8593974662590766,1.4171447907162882,1,1.0690443372546992,1,-10.089042710921827,3.798335229277159,0.7743685866973123,1.1523004399497851,1.7782165547025084,3.806158080373089,-1.2386314395845754,0.188,0.205,0.9627768269601935,-7.065388507290498,0.085,1.0,61110.80796818751,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.001,0.118,0.001,0.001,0.501,0.001,0.001,0.012,0.001,0.9066938350323646,-3.3226945191768524,2.0336452879154674,0.7327601924017519,0,-3.168437408866133,1,-10.089042710921827,6.2777228695462135,0.9042612030264999,-0.7694669046796896,5.451234575139656,-0.7695808082389615,1.1453524271798068,0.241,0.205,-2.9574409509433037,12.452999229087009,0.09,1.0,31154.49036656557,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0,0.008,0.002,0.001,0.001,0.501,0.001,0.001,0.568,0.001,0.002366608748497773,0.6485446558460004,1.05944863351561,-1.0087466699946823,1,-1.1129178213644821,1,-0.271900149219203,1.442958507220528,0.14768963845552974,-2.0886994297809913,2.1539258469951807,-10.27692159267777,1.5513367468234507,0.188,0.115,1.1411652716579705,-7.065388507290498,0.074,1.0,55078.48393430217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.568,0.001,0.5413716723798985,1.106687610931472,2.399635889224372,2.3345974432361216,0,1.8450033617300454,1,3.5900925540223034,3.4099407647084155,0.8433902793861645,1.6720529401250595,4.626787069235546,6.21154951904344,0.8922245226472681,0.241,0.13,2.485477863898728,-7.065388507290498,0.07,1.0,56484.2833597979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,0.007,0.005,0.052,0.001,0.501,0.001,0.001,0.568,0.001,0.002366608748497773,-0.8150380386777163,-0.747560845179044,-3.257122012237343,0,-1.0193637120839072,0,0.2089966858348491,2.1442644510009354,0.33008565648807214,0.09516177347181833,-1.187224231921867,-0.8153024563041406,-0.3098671374875863,0.19,0.128,-0.6479636736717482,-7.065388507290498,0.083,0.0,47213.230196207594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,0.007,0.001,0.001,0.201,0.001,0.164,0.386,0.568,0.161,0.002366608748497773,1.8322424447806709,-0.8182224427035356,0.23552745606324818,1,-3.168437408866133,0,0.7852996410659807,5.934436138720308,0.6747731868375699,-0.6869219957232376,-1.266374292198878,-1.99965995674752,-2.9796564104369945,0.19,0.205,-0.8922328125534437,-7.065388507290498,0.093,0.0,55788.26110227301,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,0.007,0.003,0.001,0.001,0.001,0.001,0.001,0.568,0.001,0.002366608748497773,-3.3226945191768524,-0.09154666780661158,-0.3591296830017889,1,-0.7776291490817059,1,-0.09655968269802473,2.638746389013596,0.38064394688981407,0.30268905876999386,0.24111056261580832,-1.0498033238344242,-1.1538099334398473,0.187,0.146,-0.7273359834485558,-0.0508079683282312,0.083,0.0,59932.271027987896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.001,0.002,0.001,0.001,0.501,0.001,0.386,0.007,0.001,0.07287709541890046,-0.6475631546663583,-1.8069333466532713,-1.3674968307365036,0,-0.7651709256046083,0,-4.1115763459107395,4.35173771965865,0.080045006058935,-0.609316529335741,-3.935564389564147,-10.27692159267777,-0.5607057556396418,0.098,0.205,0.9753643211025785,-7.065388507290498,0.09,0.0,51209.84505555897,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
